Date,ACC,AHH,AIV,AMH,APTS,AVB,BOWFF,BRG,BRT,CPT,ELS,EQR,ESS,GADS,IIPZF,INVH,IRT,MAA,MRTI,NXRT,OPI,RESI,RPT,SNR,SRC,SUI,UDFI,UDR,UMH,AIII
2019-05-16,46.880001068115234,16.450000762939453,50.27000045776367,23.989999771118164,16.729999542236328,202.75999450683594,31.829999923706055,11.260000228881836,14.350000381469727,102.01000213623047,59.07500076293945,76.80999755859375,285.94000244140625,,10.119999885559082,25.309999465942383,10.930000305175781,113.5,135.0,39.93000030517578,26.84000015258789,10.819999694824219,12.640000343322754,6.5,42.95000076293945,125.13999938964844,4.900000095367432,44.849998474121094,13.199999809265137,
2019-05-17,46.66999816894531,16.469999313354492,50.40999984741211,24.040000915527344,16.799999237060547,203.13999938964844,31.760000228881836,11.3100004196167,14.119999885559082,102.94000244140625,59.279998779296875,76.62000274658203,286.0199890136719,,10.119999885559082,25.350000381469727,10.930000305175781,115.05000305175781,132.0,40.0,27.010000228881836,10.75,12.680000305175781,6.429999828338623,43.04999923706055,125.36000061035156,4.900000095367432,44.869998931884766,13.149999618530273,
2019-05-20,45.95000076293945,16.389999389648438,49.630001068115234,23.829999923706055,16.489999771118164,200.5500030517578,31.760000228881836,11.260000228881836,14.050000190734863,101.69000244140625,58.56999969482422,75.75,284.04998779296875,,10.119999885559082,25.1299991607666,10.850000381469727,113.62999725341797,132.0,39.7599983215332,25.790000915527344,10.949999809265137,12.529999732971191,6.340000152587891,42.7400016784668,123.2300033569336,4.789999961853027,44.33000183105469,13.25,
2019-05-21,46.459999084472656,16.450000762939453,50.33000183105469,24.09000015258789,16.450000762939453,202.2100067138672,31.899999618530273,11.260000228881836,14.010000228881836,102.69999694824219,59.095001220703125,76.36000061035156,286.67999267578125,,10.119999885559082,25.440000534057617,10.930000305175781,114.01000213623047,132.0,40.20000076293945,25.579999923706055,11.6899995803833,12.649999618530273,6.389999866485596,42.810001373291016,124.3499984741211,4.550000190734863,44.61000061035156,13.300000190734863,
2019-05-22,46.380001068115234,16.549999237060547,50.47999954223633,24.190000534057617,16.540000915527344,203.30999755859375,31.809999465942383,11.380000114440918,13.710000038146973,103.20999908447266,59.19499969482422,76.63999938964844,287.94000244140625,,10.119999885559082,25.43000030517578,10.979999542236328,114.44999694824219,122.0,40.06999969482422,25.1200008392334,11.5600004196167,12.640000343322754,6.380000114440918,42.83000183105469,124.27999877929688,4.519999980926514,44.900001525878906,13.229999542236328,
2019-05-23,46.63999938964844,16.5,50.9900016784668,24.190000534057617,16.299999237060547,203.74000549316406,31.579999923706055,11.479999542236328,13.1899995803833,103.87999725341797,60.07500076293945,77.11000061035156,289.4100036621094,,10.119999885559082,25.530000686645508,10.960000038146973,114.97000122070312,120.0,40.099998474121094,24.350000381469727,11.59000015258789,12.569999694824219,6.380000114440918,42.75,126.08999633789062,4.5,45.130001068115234,13.34000015258789,
2019-05-24,47.34000015258789,16.549999237060547,51.040000915527344,24.399999618530273,16.3700008392334,205.27999877929688,31.850000381469727,11.65999984741211,13.289999961853027,104.30000305175781,60.13999938964844,77.19000244140625,290.9700012207031,,10.119999885559082,25.770000457763672,11.039999961853027,114.81999969482422,120.0,40.119998931884766,24.59000015258789,11.630000114440918,12.720000267028809,6.400000095367432,42.630001068115234,126.12999725341797,4.550000190734863,45.310001373291016,13.390000343322754,
2019-05-28,47.279998779296875,16.5,50.279998779296875,24.06999969482422,16.229999542236328,202.7100067138672,30.780000686645508,11.720000267028809,13.300000190734863,103.95999908447266,59.939998626708984,76.20999908447266,289.25,,10.119999885559082,25.40999984741211,10.960000038146973,113.2699966430664,120.0,39.95000076293945,24.170000076293945,11.25,12.569999694824219,6.46999979019165,41.97999954223633,125.7300033569336,4.389999866485596,44.93000030517578,13.600000381469727,
2019-05-29,45.849998474121094,16.350000381469727,49.31999969482422,24.030000686645508,15.989999771118164,201.30999755859375,30.780000686645508,11.390000343322754,12.670000076293945,102.41999816894531,58.83000183105469,75.66999816894531,285.3500061035156,,10.119999885559082,25.270000457763672,10.829999923706055,112.47000122070312,120.0,39.95000076293945,23.969999313354492,11.130000114440918,12.260000228881836,6.380000114440918,41.7400016784668,122.5,3.509999990463257,44.119998931884766,13.430000305175781,
2019-05-30,45.86000061035156,16.43000030517578,49.59000015258789,24.1200008392334,15.899999618530273,201.38999938964844,30.780000686645508,11.380000114440918,12.649999618530273,102.19999694824219,58.98500061035156,75.81999969482422,285.4599914550781,,10.119999885559082,25.420000076293945,10.890000343322754,113.33999633789062,120.0,39.9900016784668,23.81999969482422,11.489999771118164,12.1899995803833,6.46999979019165,42.11000061035156,123.54000091552734,4.099999904632568,44.220001220703125,13.390000343322754,
2019-05-31,46.31999969482422,16.5,49.95000076293945,24.40999984741211,15.699999809265137,203.00999450683594,30.780000686645508,11.4399995803833,12.619999885559082,103.36000061035156,60.83000183105469,76.56999969482422,291.739990234375,,10.119999885559082,25.6299991607666,10.979999542236328,114.18000030517578,120.0,40.08000183105469,23.90999984741211,11.4399995803833,12.170000076293945,6.590000152587891,42.65999984741211,126.2699966430664,4.090000152587891,44.779998779296875,13.3100004196167,
2019-06-03,46.40999984741211,16.530000686645508,50.0,24.399999618530273,15.640000343322754,203.83999633789062,30.5,11.470000267028809,12.75,103.54000091552734,60.04499816894531,76.23999786376953,289.6300048828125,,10.460000038146973,25.799999237060547,11.039999961853027,114.68000030517578,120.0,40.22999954223633,23.940000534057617,11.369999885559082,12.260000228881836,6.650000095367432,43.93000030517578,127.25,4.090000152587891,45.02000045776367,13.260000228881836,
