,KY,MT,ND,Portfolio,WV,WY
118,213401.7013161851,619155.4672978941,495339.90266252327,388991.16755548824,137295.8186613291,479762.94783950964
119,231661.30000144025,513277.7496902976,511643.46606510325,369301.2701964353,150032.6716486013,439891.1635767337
120,236661.79227988116,597554.8694559511,480150.92651677586,384601.80246837565,148168.79361491738,460472.6304743525
121,219070.1707682386,569749.5302764486,479296.10696267895,374823.8561715639,148863.72902783737,457139.743822616
122,235472.11784417753,615146.0860361891,476564.6229383563,396092.8080219354,151125.6503395606,502155.5629513933
123,227818.5796907584,566432.9324112418,491872.90637089335,383234.0923091528,143384.69139996587,486661.35167290445
124,232687.88596791017,642425.9513434,486752.025789166,399572.5729588935,161604.6505100089,474392.3511839824
125,224263.2716528718,544942.9090942452,491032.5114167239,372102.819544915,149590.242798648,450685.16276208597
126,243705.62013312642,567601.1448412463,489374.2928632952,389275.8301969032,148001.50993776874,497696.5832090793
127,235726.08946508777,591717.2349059404,501675.3924271443,381621.8525250992,140900.16119615236,438090.3846311709
128,226591.03072534272,552023.5038440893,517334.12554678065,381023.13660176686,154379.20674429947,454787.81614832196
129,252092.85316678204,623911.4493024417,465191.1639437678,395187.2944259008,148774.52946254314,485966.4762539693
130,235894.54762812774,587928.1396184386,536358.726642675,392680.52000395773,150334.41907823618,452886.767052311
131,233125.555122166,587485.8421818599,460008.24042059586,375956.9188997894,151161.97087194244,448002.98590238264
132,236604.5078696437,623872.8106322475,582326.4292828421,410008.57280505245,144342.62001135616,462896.4962291725
133,223508.70217746115,592417.5294665474,515011.81649090885,394675.0977715084,149833.5516522063,492603.88907041773
134,229033.6302363995,577756.9054805043,483102.5846247219,379386.2721513271,151091.43786570954,455946.8025493003
135,244377.43631240044,524004.62355880113,468612.33932829776,372065.4022806671,155030.60930077604,468302.00290305994
136,244488.92758312932,563396.6972523469,512464.85183184623,387502.5957268226,145271.9963458454,471890.5056209451
137,237636.32933130136,607723.2370662478,481742.91025419807,394478.8537515685,154396.77225048855,490895.0198556064
138,233305.40510391674,619346.7465036106,511280.6548107611,396430.06107688416,144388.0916997177,473829.4072664145
139,241369.08965532866,566947.564390457,528077.0132204673,396365.0197399423,155524.4585088229,489906.9729246357
140,223867.21860095163,567059.4195639692,458519.1147543087,378511.1578938251,155078.91522738978,488031.121322506
141,238857.6160488194,662234.8065625088,464611.2963220214,403001.5925085127,153554.67254128036,495749.5710679336
142,239562.88416075587,593287.9895624826,478433.6063125801,387224.1895043828,146375.45855969915,478461.008926396
143,220555.0035664448,568932.7652321772,501457.181657683,381640.70597888855,148056.99136730554,469201.588070832
144,246945.42820698826,620899.7981428738,460302.7351457837,389658.37794428854,153483.5890515107,466660.3391742862
145,231077.00450312393,590180.281692602,525976.7301446244,397031.3809067183,149680.9425739529,488241.9456192884
146,235848.7973725016,564068.5022379962,450351.5022005002,371196.8697539345,151982.42408696524,453733.1228717091
147,225929.1277971221,586384.1947223422,484191.39797166915,373169.90492915595,144200.16502081667,425144.63913382933
148,238603.91277047724,569284.7419741896,480481.9694950532,385813.60152680194,137665.9914618885,503031.3919324008
149,229936.41627187596,610315.2412583511,495842.40807710576,384266.1586697205,147629.6517195897,437607.07602168014
150,240103.40486905436,594255.3526146963,546452.9998641703,392752.5544428261,154342.06763671275,428608.94722949684
151,237126.906627561,568683.9838613499,490288.3805013101,378451.36681866786,140917.02993694233,455240.5331661758
152,242327.1295324927,632286.6957432353,499797.0938430196,395372.91087448155,140272.9770847593,462180.6581689006
153,215484.92882392489,663595.7369219599,465422.66411374736,391770.6069138532,149237.86039971892,465111.84430991474
154,240994.73361215286,562521.1861081166,485927.6816793035,383771.33256756066,149632.78424486326,479780.27719336684
155,224663.44280518548,580942.7258114095,497784.5957891936,383422.7388283519,142876.15260979166,470846.777126179
156,222873.0649057678,572233.8825441664,514235.1120272037,379954.5327321121,148188.91383198337,442241.6903514391
157,239059.3326083326,606251.7113382544,463369.4523646279,380437.6263933773,149446.0549639231,444061.5806917484
158,239813.29807603796,565910.8775970802,468614.3081203541,377856.9069691817,154521.11232612334,460424.9387263129
159,234818.30921818467,613849.1440874164,483539.3534087664,384694.75401546306,142579.55388987533,448687.40947307216
160,232146.1955235488,627167.8368099357,454124.45730024454,390687.85112157126,142556.16535429712,497444.60061982984
161,220699.57339143814,614543.7428113093,481530.59939975897,382266.4368311488,146028.7774896305,448529.4910636069
162,224765.00638864058,563317.8447367201,498467.19480143243,376734.3514038901,151737.82004200204,445383.89105065516
163,241219.75826182967,552670.291092589,513790.83048440714,386573.751406885,153402.06474129003,471785.81245430873
164,225129.6493647569,612905.6913249607,500858.83620161563,395222.0415982858,149370.6543229496,487845.37677714624
165,231181.4442556771,624285.3689658936,487414.7724382692,391025.3466300269,154633.24572420577,457611.9017660886
166,232039.93872656688,540971.1569041698,482819.388419956,378352.9022943451,154570.68407168493,481363.3433493473
167,239199.53138325148,575754.4596530728,484078.3385299494,385783.4475664189,138357.5705063111,491527.33775950945
168,245890.9755436448,563577.6580274755,490397.51997794776,387735.4526484214,155842.33101316352,482968.7786798752
169,253610.6921874284,604962.2406619854,502578.19283035054,400830.7061282983,149042.30186527266,493960.1030964545
170,233329.5976944898,606659.7160904403,488798.59496565635,390886.8383727501,154312.92162760976,471333.3614855543
171,221201.77859394165,544616.4906557148,476125.7185625452,371276.10008918785,158392.2755599683,456044.2370737694
172,229767.22141104282,635919.515810353,510798.66761980095,393952.2514392546,149512.60468007435,443763.2476750016
173,207520.85317202372,603471.5127568941,482009.0133630185,379351.6340503389,151634.5832668867,452122.20769287116
