Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
Cambridge Bancorp,CATC,255.46,NO,NSDQ,147.6,7.76
Cardtronics PLC,CATM,874.85,NO,NSDQ,1252.62695,11.13
Cathay General Bancorp,CATY,1896.55,NO,NSDQ,563.25,9.92
"Capital Bancorp, Inc.",CBNK,142.78,NO,NSDQ,105.8,8.98
"China Biologic Products, Inc.",CBPO,4203.07,NO,NSDQ,567.96997,21.61
"Cracker Barrel Old Country Store, Inc.",CBRL,2121.11,NO,NSDQ,2726.37011,33.47
"Commerce Bancshares, Inc.",CBSH,6205.51,NO,NSDQ,1297.958,21.82
"CBTX, Inc.",CBTX,420.26,NO,NSDQ,145.8,13.23
"Crescent Capital BDC, Inc.",CCAP,272.6,NO,NSDQ,67.47,5.85
Capital City Bank Group,CCBG,314.91,NO,NSDQ,155.6,15.14
Cabot Microelectronics Corporation,CCMP,3259.1,NO,NSDQ,1124.19995,16.35
CNB Financial Corporation,CCNE,249.43,NO,NSDQ,152.64999,8.33
"Cogent Communications Holdings, Inc.",CCOI,4135.12,NO,NSDQ,586.21002,83.31
"Cross Country Healthcare, Inc.",CCRN,220.79,NO,NSDQ,836.69799,34.72
"CDK Global, Inc.",CDK,4216.99,NO,NSDQ,1964.84301,11.06
CECO Environmental Corp.,CECE,165.13,NO,NSDQ,358.57998,8.26
Celsius Holdings Inc.,CELH,310.88,NO,NSDQ,111.83999,81.64
Central Garden & Pet Company,CENT,1752.21,NO,NSDQ,2439.35693,19.48
Central Garden & Pet Company,CENTA,1635.8,NO,NSDQ,2439.35693,18.19
"CEVA, Inc.",CEVA,646.9,NO,NSDQ,90.62699,73.33
"CrossFirst Bankshares, Inc.",CFB,437.1,NO,NSDQ,164.43499,13.06
Capitol Federal Financial,CFFN,1638.71,NO,NSDQ,213.46,22.93
The Carlyle Group L.P.,CG,7863.01,NO,NSDQ,2220.61694,13.66
"TCG BDC, Inc.",CGBD,401.42,NO,NSDQ,153.44,4.7
Cognex Corporation,CGNX,8432.01,NO,NSDQ,672.38201,81.72
City Holding Company,CHCO,1044.36,NO,NSDQ,230.11999,14.23
"Churchill Downs, Incorporated",CHDN,3452.4,NO,NSDQ,1260.72497,31.97
"The Chefs' Warehouse, Inc.",CHEF,342.21,NO,NSDQ,1472.83496,29.41
Check Point Software Technologies Ltd.,CHKP,15182.39,NO,NSDQ,2011.98303,16.49
Chemung Financial Corp,CHMG,128.48,NO,NSDQ,76.9,9.44
Change Healthcare Inc.,CHNG,1281.2,NO,NSDQ,3357.97412,7.65
"Coherus BioSciences, Inc.",CHRS,1228.4,NO,NSDQ,453.97198,10.85
Colliers International Group Inc.,CIGI,2003.77,NO,NSDQ,3083.8999,11.09
"Civista Bancshares, Inc.",CIVB,220.49,NO,NSDQ,110.33499,8.61
Clarus Corporation,CLAR,274.39,NO,NSDQ,217.5,27.94
COLUMBIA FINL,CLBK,1561.81,NO,NSDQ,226.39999,31.16
"Clearfield, Inc.",CLFD,170.58,NO,NSDQ,93.5,33.76
CollPlant Holdings Ltd. Sponsored ADR,CLGN,63.67,NO,NSDQ,27.75,7.25
Clean Energy Fuels Corp.,CLNE,391.64,NO,NSDQ,282,190.5
Cambium Networks Corporation,CMBM,143.04,NO,NSDQ,246.10299,17.97
Columbus McKinnon Corporation,CMCO,576.62,NO,NSDQ,694.51501,16.93
"Cumulus Media, Inc.",CMLS,62.46,NO,NSDQ,923,1.77
Cimpress plc,CMPR,1528.03,NO,NSDQ,2545.70605,6.92
Comtech Telecommunications Corp.,CMTL,421.46,NO,NSDQ,686.84997,37.06
Conduent Inc.,CNDT,382.58,NO,NSDQ,3935.37988,3.77
"ConnectOne Bancorp, Inc.",CNOB,536.68,NO,NSDQ,229.77999,6.75
"Century Casinos, Inc.",CNTY,97.06,NO,NSDQ,436.45001,4.14
"PC Connection, Inc.",CNXN,1096.22,NO,NSDQ,2796.20996,14.1
"Co-Diagnostics, Inc.",CODX,395.12,NO,NSDQ,37.09999,18.7
"Coherent, Inc.",COHR,2861.04,NO,NSDQ,1352.73303,27.23
"Cohu, Inc.",COHU,617.77,NO,NSDQ,617.22302,20.69
"Columbia Banking System, Inc.",COLB,1786.54,NO,NSDQ,566.5,14.21
"Collegium Pharmaceutical, Inc.",COLL,705.33,NO,NSDQ,316.16101,8.63
Columbia Sportswear Company,COLM,4609.75,NO,NSDQ,2772.10009,23.67
"CommScope Holding Company, Inc.",COMM,2081.73,NO,NSDQ,8783.31445,6.27
CyrusOne Inc,CONE,8367.12,NO,NSDQ,1043.74499,18.96
MR. COOPER GROUP INC,COOP,748.6,NO,NSDQ,2377.85009,1.87
"Core-Mark Holding Company, Inc.",CORE,1257,NO,NSDQ,16885.65039,15.49
Corcept Therapeutics Incorporated,CORT,1505.78,NO,NSDQ,365.29998,15.42
"Coupa Software, Inc.",COUP,10880.48,NO,NSDQ,488.94299,454.68
"Cowen Group, Inc.",COWN,270.51,NO,NSDQ,957.55999,4.1
Cumberland Pharmaceuticals Inc.,CPIX,59.96,NO,NSDQ,42.43999,35.91
Capital Product Partners L.P.,CPLP,184.15,NO,NSDQ,137.617,5.14
"Catalyst Pharmaceuticals, Inc.",CPRX,519.11,NO,NSDQ,142.27299,12.82
"Computer Programs and Systems, Inc.",CPSI,331.48,NO,NSDQ,272.51,9.58
"Consumer Portfolio Services, Inc.",CPSS,63.62,NO,NSDQ,287.96499,4.34
Capitala Finance Corp.,CPTA,61.95,NO,NSDQ,42.47999,5.03
Charles River Associates,CRAI,292.41,NO,NSDQ,474.73999,12.35
"America's Car-Mart, Inc.",CRMT,387.12,NO,NSDQ,749.59997,7.58
Cerence Inc.,CRNC,702.91,NO,NSDQ,308.86999,20.74
"Crocs, Inc.",CROX,1468.44,NO,NSDQ,1090.56701,33.87
Criteo S.A.,CRTO,618.35,NO,NSDQ,772.02099,6.94
"Cirrus Logic, Inc.",CRUS,4176.66,NO,NSDQ,1218.51293,20.8
"Champions Oncology, Inc.",CSBR,94.51,NO,NSDQ,31.86,397.5
CenterState Bank Corporation,CSFL,1962.29,NO,NSDQ,764.96697,9.28
"CoStar Group, Inc.",CSGP,21752.47,NO,NSDQ,1643.88403,59.2
"CSG Systems International, Inc.",CSGS,1555.94,NO,NSDQ,930.79998,14.98
Canadian Solar Inc.,CSIQ,1002.11,NO,NSDQ,3374.93701,6.47
"Cornerstone OnDemand, Inc.",CSOD,1880.71,NO,NSDQ,614.28002,23.08
Caesarstone Ltd.,CSTE,317.47,NO,NSDQ,442.32,131.86
Capstar Financial Holdings Inc.,CSTR,175.2,NO,NSDQ,96.94,9.99
Capital Southwest Corporation,CSWC,244.77,NO,NSDQ,64.66899,8.08
"Community Trust Bancorp, Inc.",CTBI,556.16,NO,NSDQ,194.55,12.51
"CareTrust REIT, Inc.",CTRE,1432.99,NO,NSDQ,172.195,11.29
"Cutera, Inc.",CUTR,193.9,NO,NSDQ,171.05,18.68
CVB Financial Corporation,CVBF,2619.79,NO,NSDQ,464.54,16.28
Central Valley Community Bancorp,CVCY,174.35,NO,NSDQ,74.3,9.3
"Covetrus, Inc.",CVET,979.68,NO,NSDQ,3814.31298,17.99
"Commercial Vehicle Group, Inc.",CVGI,48.87,NO,NSDQ,781.41998,14.18
"Calavo Growers, Inc.",CVGW,1061.77,NO,NSDQ,1322,22.37
"CommVault Systems, Inc.",CVLT,2009.44,NO,NSDQ,685.72497,27.64
"Covenant Transportation Group, Inc.",CVTI,137.2,NO,NSDQ,799.59997,12.21
Consolidated Water Co. Ltd.,CWCO,223.91,NO,NSDQ,66.4,40.69
"Casella Waste Systems, Inc.",CWST,2062.66,NO,NSDQ,753.90002,81.43
CyberArk Software Ltd.,CYBR,3610.34,NO,NSDQ,484.98901,43.44
"Citizens Community Bancorp, Inc.",CZWI,68.02,NO,NSDQ,60,7.05
"Dropbox, Inc.",DBX,8462.95,NO,NSDQ,1873.29699,29.07
"Dime Community Bancshares, Inc.",DCOM,539.49,NO,NSDQ,172.88,11.59
Denny's Corporation,DENN,513.7,NO,NSDQ,364.777,19.83
"Donegal Group, Inc.",DGICA,436.26,NO,NSDQ,762.90002,13.74
Digi International Inc.,DGII,298.72,NO,NSDQ,292.08999,44.96
Senior Housing Properties Trust,DHC,625.66,NO,NSDQ,1738.76293,2.54
Diodes Incorporated,DIOD,2449.23,NO,NSDQ,1219.44995,18.4
