Company Name,Ticker,Market Cap (mil),P/E (F1),S&P 500 - ETF,F(1) Consensus Sales Est. ($mil)
"Sierra Metals Inc.","SMTS","129.69","5.82","NO","239.28599"
"SMTC Corporation","SMTX","81.77","12.61","NO","394"
"Sotherly Hotels Inc.","SOHO","26.24","4.78","NO","191.14999"
"SORL Auto Parts, Inc.","SORL","85.9","5.11","NO","499.58499"
"StarTek, Inc.","SRT","144.48","41.67","NO","642.93597"
"Sensus Healthcare, Inc.","SRTS","40.56","54.67","NO","30.13999"
"Strattec Security Corporation","STRT","62.08","56.03","NO","411.76998"
"Spirit of Texas Bancshares, Inc.","STXB","182.79","9.29","NO","113.4"
"Grupo Supervielle S.A.","SUPV","129.7","1.92","NO","619.09002"
"TravelCenters of America LLC","TA","77.53","7.28","NO","5471.43017"
"Del Taco Restaurants, Inc.","TACO","182.81","38.92","NO","447.46701"
"The Community Financial Corporation","TCFC","124.17","10.51","NO","61.4"
"THL Credit, Inc.","TCRD","113.31","4.91","NO","38.415"
"Container Store (The)","TCS","107.62","5.07","NO","908.03997"
"Tecnoglass Inc.","TGLS","162.33","5.03","NO","422.962"
"Platinum Eagle Acquisition Corp.","TH","161.63","17.08","NO","252.25999"
"Cesca Therapeutics Inc.","THMO","49.04","50","NO","25.85"
"Team, Inc.","TISI","169.98","26.43","NO","1187"
"Tailored Brands, Inc.","TLRD","76.99","12.23","NO","2565.8601"
"Tilly's, Inc.","TLYS","141.21","41.91","NO","535.065"
"Trecora Resources","TREC","139.36","28.87","NO","252.11999"
"Unique Fabricating, Inc.","UFAB","27.87","5.82","NO","163"
"Unifi, Inc.","UFI","184.68","39.92","NO","659.09997"
"Unity Bancorp, Inc.","UNTY","152.08","7.85","NO","71.3"
"Americas Silver Corporation","USAS","180.93","9.86","NO","148.02999"
"Universal Technical Institute Inc","UTI","174.67","39.78","NO","346.29998"
"Velocity Financial, Inc.","VEL","68.3","5.15","NO","78.8"
"Village Farms International, Inc.","VFF","198.56","27.87","NO","169.67999"
"Venator Materials PLC","VNTR","133.2","11.19","NO","2077.02197"
"VIQ SOLUTIONS","VQSLF","27.19","20.88","NO","36.29999"
"Vera Bradley, Inc.","VRA","160.64","6.01","NO","517.5"
"Weidai Ltd. Sponsored ADR","WEI","94.61","5.37","NO","250"
"WhiteHorse Finance, Inc.","WHF","199.91","6.87","NO","64.067"
"Western New England Bancorp","WNEB","150.24","13.3","NO","69.65"
"Washington Prime Group Inc.","WPG","152.01",".74","NO","660.09997"
"WidePoint Corporation","WYY","34.37","41","NO","99.69"
"Exantas Capital Corp.","XAN","76.31","1.93","NO","66.69999"
"X Financial Sponsored ADR","XYF","145.83","2.27","NO","477.25"
"Zovio Inc","ZVO","58.85","4.62","NO","337.5"
